2023-12-13 05:39:37 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [C:\xampp\htdocs\My_Implement\cakephp\cake\libs\debugger.php, line 697]
2023-12-13 06:32:51 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 44]
2023-12-13 06:33:48 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 44]
2023-12-13 06:33:49 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 44]
2023-12-13 06:34:19 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 44]
2023-12-13 06:36:33 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 44]
2023-12-13 06:38:35 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 44]
2023-12-13 06:39:56 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 45]
2023-12-13 06:40:43 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 45]
2023-12-13 06:43:33 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 45]
2023-12-13 07:32:57 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [C:\xampp\htdocs\My_Implement\cakephp\cake\libs\debugger.php, line 697]
2023-12-13 11:31:27 Debug: Notice (8): Undefined index: content in [C:\xampp\htdocs\My_Implement\cakephp\app\views\posts\view_all.ctp, line 8]
2023-12-14 12:36:31 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [C:\xampp\htdocs\My_Implement\cakephp\cake\libs\debugger.php, line 697]
2023-12-14 12:36:39 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [C:\xampp\htdocs\My_Implement\cakephp\cake\libs\debugger.php, line 697]
2023-12-14 12:46:59 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 36]
2023-12-14 12:48:49 Debug: Notice (8): Undefined property: PostsController::$request in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 41]
2023-12-15 07:48:52 Debug: Notice (8): Undefined property: PostsController::$Comment in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 63]
2023-12-15 07:52:01 Debug: Notice (8): Undefined property: PostsController::$Comment in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\posts_controller.php, line 66]
2023-12-15 07:54:05 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\comments_controller.php, line 17]
2023-12-15 07:54:48 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\comments_controller.php, line 17]
2023-12-15 07:57:41 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\My_Implement\cakephp\app\controllers\comments_controller.php, line 17]
2023-12-26 10:43:19 Debug: Notice (8): Undefined variable: defaultSearchValue in [C:\xampp\htdocs\My_Implement\cakephp\app\views\layouts\default.ctp, line 52]
2023-12-26 10:43:19 Debug: Notice (8): Undefined variable: defaultSearchValue in [C:\xampp\htdocs\My_Implement\cakephp\app\views\layouts\default.ctp, line 52]
2023-12-26 10:44:30 Debug: Notice (8): Undefined variable: defaultSearchValue in [C:\xampp\htdocs\My_Implement\cakephp\app\views\layouts\default.ctp, line 52]
2023-12-26 10:44:32 Debug: Notice (8): Undefined variable: defaultSearchValue in [C:\xampp\htdocs\My_Implement\cakephp\app\views\layouts\default.ctp, line 52]
2023-12-26 10:44:32 Debug: Notice (8): Undefined variable: defaultSearchValue in [C:\xampp\htdocs\My_Implement\cakephp\app\views\layouts\default.ctp, line 52]
